TEMEL BILGILER - Baslik;TEMEL BILGILER - Arac Turu;TEMEL BILGILER - Govde Tipi;TEMEL BILGILER - Segment;TEMEL BILGILER - Marka;TEMEL BILGILER - Seri;TEMEL BILGILER - Model;TEMEL BILGILER - Donanim Paketi;TEMEL BILGILER - Model Yili;TEMEL BILGILER - Uretim Ulkesi;MOTOR - Yakit Turu;MOTOR - Yakit Tipi;MOTOR - Motor Tipi;MOTOR (Fosil Yakit) - Besleme Tipi;MOTOR (Fosil Yakit) - Silindir Adedi;MOTOR (Fosil Yakit) - Silindir Hacmi;MOTOR (Fosil Yakit) - Yakit Puskurtme;MOTOR (Elektrik) - Motor Gucu;MOTOR (Elektrik) - Batarya Kapasitesi;MOTOR (Elektrik) - Batarya Tipi;SANZIMAN - Sanziman Turu;SANZIMAN - Sanziman Modeli;SANZIMAN - Vites Sayisi;PERFORMANS - PERFORMANS PUANI;PERFORMANS - Beygir Gucu;PERFORMANS - Azami Tork;PERFORMANS - Azami Hiz;PERFORMANS - 0-100 Km Hizlanma;CEKIS SISTEMI - Cekis Turu;CEKIS SISTEMI - Cekis Kontrol Sistemi;BOYUTLAR - KONFOR PUANI;BOYUTLAR - Ic Hacim;BOYUTLAR - Uzunluk;BOYUTLAR - Genislik;BOYUTLAR - Yukseklik;BOYUTLAR - Ağirlik;BOYUTLAR - Bagaj Hacmi (Standart);BOYUTLAR - Bagaj Hacmi (Genisletilmis);LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Jant Capi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Taban Genisliği;DIS DONANIM - Kapi Sayisi;DIS DONANIM- Far Tipi;DIS DONANIM- Sis Farlari;IC DONANIM - Koltuk Sayisi;IC DONANIM - Doseme Tipi;IC DONANIM - Surucu Koltuğu Ayarlari;IC DONANIM - On Yolcu Koltuğu Ayarlari;IC DONANIM - Klima;SENSORLER - Far Sensoru;SENSORLER - Yağmur Sensoru;SENSORLER - Lastik Basinc Sensoru;SENSORLER - Park Sensoru & Yardimcisi;GUVENLIK - GUVEN PUANI;GUVENLIK - Hava Yastiği Adedi;GUVENLIK - NCAP/ANCAP Puani;EKONOMI - EKO PUANI;EKONOMI - Tahmini Bakim Masrafi;EKONOMI - Yillik MTV Tutari;EKONOMI - Ortalama Yakit Tuketimi (100 km);EKONOMI - Sehir Ici Tuketim (100 km);EKONOMI - Sehir Disi Tuketim (100 km);EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt);EKONOMI (Elektrik) - Menzil (WLTP - Birlesik);EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici);EKONOMI (Elektrik) - Sarj Suresi;EMISYON - Emisyon Standardi;EMISYON - Ortalama Emisyon
Mazda 3 SKYACTIV-G 1.5 120 PS Otomatik Reflex;Binek;Sedan;C;Mazda;3;3 Skyactiv-G;Reflex;2015, 2016;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1496;Cok Noktadan Enjeksiyon;;;;Otomatik;Activematic (YO);6 ileri;48;120;150;185;11,6;Onden Cekisli;Var;70;72;4585;1795;1450;1295;419;1263;205/60 R16;16;60%;205;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;108;6;5;76;77;3661;6;6,8;4,8;51;;;;EURO 5;129
Mazda 3 SKYACTIV-G 1.5 120 PS Reflex;Binek;Sedan;C;Mazda;3;3 Skyactiv-G;Reflex;2015, 2016;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1496;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;6 ileri;50;120;150;195;10,3;Onden Cekisli;Var;70;72;4585;1795;1450;1274;419;1263;205/60 R16;16;60%;205;5; LED; Var;5;Kumas;Manuel;Manuel;Otomatik Klima;Var;Var;Var;Var;108;6;5;81;84;3661;5,49;6,4;4,2;51;;;;EURO 5;118
Peugeot 301 1.6L HDi 92 HP Allure;Binek;Sedan;B;Peugeot;301;301 1,6L;Allure;2014;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;92;230;180;11,2;Onden Cekisli;Var;65;70;4442;1785;1466;1090;640;1332;195/55 R16;16;55%;195;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Yok;Var;46;4;3;86;84;3661;4,55;4,9;3,9;50;;;;EURO 5;112
Peugeot 301 1.6L VTi 115 HP Allure;Binek;Sedan;B;Peugeot;301;301 1,6L Vti;Allure;2014;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1587;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;53;115;150;188;9,4;Onden Cekisli;Var;66;76;4442;1953;1466;1090;640;1332;195/55 R16;16;55%;195;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Yok;Var;47;4;3;74;83;3661;7,31;8,8;5,3;50;;;;EURO 5;151
Peugeot 301 1.6L VTi 115 HP Otomatik Allure;Binek;Sedan;B;Peugeot;301;301 1,6L Vti;Allure;2014;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1587;Cok Noktadan Enjeksiyon;;;;Otomatik;AL4 (Tork Konvertorlu );4 ileri;51;115;150;188;10,8;Onden Cekisli;Var;66;76;4442;1953;1466;1090;640;1332;195/55 R16;16;55%;195;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Otomatik Klima;Yok;Yok;Yok;Var;47;4;3;72;76;3661;7,31;8,8;5,3;50;;;;EURO 5;151
BMW 316i 136 BG Otomatik;Binek;Sedan;Premium D;BMW;3 Serisi;316I;Turkiye Paketi;2014, 2015;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1598;Cok Noktadan Enjeksiyon;;;;Otomatik;ZF8;8 ileri;56;136;220;210;9,2;Arkadan Itisli;Var;75;81;4624;2031;1429;1480;480;Koltuklar Katlanmiyor;205/60 R16;16;60%;205;5; LED; Var;5;Deri;Manuel;Manuel;Otomatik Klima;Yok;Var;Var;Var;110;6;5;72;75;3661;6,38;7,5;4,8;60;;;;EURO 5;134
BMW 318i 1.5 136 BG Otomatik;Binek;Sedan;Premium D;BMW;3 Serisi;318I;Turkiye Paketi;2015, 2016, 2017, 2018;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Cift Turbo;3;1499;Cok Noktadan Enjeksiyon;;;;Otomatik;ZF8;8 ileri;56;136;220;210;9,1;Arkadan Itisli;Var;73;72;4633;1811;1429;1500;480;1500;205/60 R16;16;60%;205;5; LED; Var;5;Deri;Manuel;Manuel;Otomatik Klima;Yok;Var;Var;Var;110;6;5;78;79;3661;5,44;6,2;4,3;60;;;;EURO 5;116
BMW 320d 2.0 190 BG Otomatik;Binek;Sedan;Premium D;BMW;3 Serisi;320D;Turkiye Paketi;2015, 2016, 2017, 2018;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Cift Turbo;4;1995;Common Rail Direkt Enjeksiyon;;;;Otomatik;ZF8;8 ileri;74;190;400;230;7,2;Arkadan Itisli;Var;73;72;4633;1811;1429;1525;480;1500;205/60 R16;16;60%;205;5; LED; Var;5;Deri;Manuel;Manuel;Otomatik Klima;Yok;Var;Var;Var;110;6;5;56;70;10613;4,34;4,8;3,6;57;;;;EURO 5;106
BMW 320d xDrive 2.0 184 BG Otomatik (4x4);Binek;Sedan;Premium D;BMW;3 Serisi;320D;Turkiye Paketi;2015;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1995;Common Rail Direkt Enjeksiyon;;;;Otomatik;ZF8;8 ileri;71;184;380;228;7,4;4x4 Cekisli;Var;74;71;4624;1811;1416;1595;480;Koltuklar Katlanmiyor;205/60 R16;16;60%;205;5; LED; Var;5;Deri;Manuel;Manuel;Otomatik Klima;Yok;Var;Var;Var;110;6;5;53;70;10613;5,02;5,6;4,1;57;;;;EURO 5;122
BMW 320d xDrive 2.0 190 BG Otomatik (4x4);Binek;Sedan;Premium D;BMW;3 Serisi;320D;Turkiye Paketi;2015, 2016, 2017, 2018;Almanya;Fosil Yakit;Dizel;Icten Yanmali (Standart);Cift Turbo;4;1995;Common Rail Direkt Enjeksiyon;;;;Otomatik;ZF8;8 ileri;72;190;400;228;7,3;4x4 Cekisli;Var;75;72;4633;1811;1429;1610;480;1500;205/60 R16;16;60%;205;5; LED; Var;5;Deri;Manuel;Manuel;Otomatik Klima;Yok;Var;Var;Var;111;6;5;55;70;10613;4,6;5,1;3,8;57;;;;EURO 5;112
BMW 320i ED 170 BG Otomatik;Binek;Sedan;Premium D;BMW;3 Serisi;320I Ed;Turkiye Paketi;2014, 2015;Almanya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;4;1598;Cok Noktadan Enjeksiyon;;;;Otomatik;ZF8;8 ileri;64;170;250;230;7,6;Arkadan Itisli;Var;75;81;4624;2031;1429;1485;480;Koltuklar Katlanmiyor;205/60 R16;16;60%;205;5; LED; Var;5;Deri;Manuel;Manuel;Otomatik Klima;Yok;Var;Var;Var;110;6;5;73;74;3661;6,07;7,3;4,4;60;;;;EURO 5;127
