TEMEL BILGILER - Baslik;TEMEL BILGILER - Arac Turu;TEMEL BILGILER - Govde Tipi;TEMEL BILGILER - Segment;TEMEL BILGILER - Marka;TEMEL BILGILER - Seri;TEMEL BILGILER - Model;TEMEL BILGILER - Donanim Paketi;TEMEL BILGILER - Model Yili;TEMEL BILGILER - Uretim Ulkesi;MOTOR - Yakit Turu;MOTOR - Yakit Tipi;MOTOR - Motor Tipi;MOTOR (Fosil Yakit) - Besleme Tipi;MOTOR (Fosil Yakit) - Silindir Adedi;MOTOR (Fosil Yakit) - Silindir Hacmi;MOTOR (Fosil Yakit) - Yakit Puskurtme;MOTOR (Elektrik) - Motor Gucu;MOTOR (Elektrik) - Batarya Kapasitesi;MOTOR (Elektrik) - Batarya Tipi;SANZIMAN - Sanziman Turu;SANZIMAN - Sanziman Modeli;SANZIMAN - Vites Sayisi;PERFORMANS - PERFORMANS PUANI;PERFORMANS - Beygir Gucu;PERFORMANS - Azami Tork;PERFORMANS - Azami Hiz;PERFORMANS - 0-100 Km Hizlanma;CEKIS SISTEMI - Cekis Turu;CEKIS SISTEMI - Cekis Kontrol Sistemi;BOYUTLAR - KONFOR PUANI;BOYUTLAR - Ic Hacim;BOYUTLAR - Uzunluk;BOYUTLAR - Genislik;BOYUTLAR - Yukseklik;BOYUTLAR - Ağirlik;BOYUTLAR - Bagaj Hacmi (Standart);BOYUTLAR - Bagaj Hacmi (Genisletilmis);LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Jant Capi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Taban Genisliği;DIS DONANIM - Kapi Sayisi;DIS DONANIM- Far Tipi;DIS DONANIM- Sis Farlari;IC DONANIM - Koltuk Sayisi;IC DONANIM - Doseme Tipi;IC DONANIM - Surucu Koltuğu Ayarlari;IC DONANIM - On Yolcu Koltuğu Ayarlari;IC DONANIM - Klima;SENSORLER - Far Sensoru;SENSORLER - Yağmur Sensoru;SENSORLER - Lastik Basinc Sensoru;SENSORLER - Park Sensoru & Yardimcisi;GUVENLIK - GUVEN PUANI;GUVENLIK - Hava Yastiği Adedi;GUVENLIK - NCAP/ANCAP Puani;EKONOMI - EKO PUANI;EKONOMI - Tahmini Bakim Masrafi;EKONOMI - Yillik MTV Tutari;EKONOMI - Ortalama Yakit Tuketimi (100 km);EKONOMI - Sehir Ici Tuketim (100 km);EKONOMI - Sehir Disi Tuketim (100 km);EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt);EKONOMI (Elektrik) - Menzil (WLTP - Birlesik);EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici);EKONOMI (Elektrik) - Sarj Suresi;EMISYON - Emisyon Standardi;EMISYON - Ortalama Emisyon
Mazda 2 1.5 102 PS Go;Binek;Hatchback;B;Mazda;2;2;Go;2014;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;50;102;133;186;10,7;Onden Cekisli;Yok;56;59;3920;1695;1475;1015;469;950;185/55 R15;15;55%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;79;6;4;85;84;3661;5,42;5,7;4,8;43;;;;EURO 5;132
Mazda 2 1.5 102 PS Otomatik Go;Binek;Hatchback;B;Mazda;2;2;Go;2014;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;Otomatik;Tork Konvertorlu;4 ileri;47;102;133;170;11,9;Onden Cekisli;Yok;57;59;3920;1695;1475;1035;469;950;185/55 R15;15;55%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;80;6;4;77;77;3661;6,94;8,1;5,3;43;;;;EURO 5;145
Mazda 2 1.5 102 PS Otomatik Play;Binek;Hatchback;B;Mazda;2;2;Go;2014;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;Otomatik;Tork Konvertorlu;4 ileri;47;102;133;170;11,9;Onden Cekisli;Yok;60;59;3920;1695;1475;1035;469;950;195/45 R16;16;45%;195;5;Halojen;Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Var;Var;Yok;Yok;80;6;4;76;77;3661;6,94;8,1;5,3;43;;;;EURO 5;145
Peugeot 208 1.0 PureTech 68 HP Access;Binek;Hatchback;B;Peugeot;208;208;Access;2014, 2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;999;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;41;68;95;165;14;Onden Cekisli;Yok;61;70;3962;2004;1460;975;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;85;2;5;96;93;1882;4,6;5,1;3,8;50;;;;EURO 5;99
Peugeot 208 1.2 PureTech 82 HP Access;Binek;Hatchback;B;Peugeot;208;208;Access;2015, 2016, 2017, 2018;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;82;118;175;12,2;Onden Cekisli;Yok;59;63;3962;1829;1460;975;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;84;2;5;95;91;1882;4,87;5,5;3,9;50;;;;EURO 5;104
Peugeot 208 1.2 PureTech 82 HP ESP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;82;118;175;12,2;Onden Cekisli;Yok;59;63;3962;1829;1460;975;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;94;4;5;95;91;1882;4,87;5,5;3,9;50;;;;EURO 5;104
Peugeot 208 1.2 PureTech 82 HP ETG5 Access;Binek;Hatchback;B;Peugeot;208;208;Access;2015, 2016;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Otomatik;ETG5 (YO);5 ileri;43;82;118;177;14,8;Onden Cekisli;Yok;61;63;3962;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;85;2;5;90;84;1882;5,23;5,9;4,2;50;;;;EURO 5;110
Peugeot 208 1.2 PureTech 82 HP ETG5 Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015, 2016;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Otomatik;ETG5 (YO);5 ileri;43;82;118;177;14,8;Onden Cekisli;Yok;61;63;3962;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;90;84;1882;5,23;5,9;4,2;50;;;;EURO 5;110
Peugeot 208 1.2 PureTech 82 HP ETG5 ESP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Otomatik;ETG5 (YO);5 ileri;43;82;118;177;14,8;Onden Cekisli;Yok;61;63;3962;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;90;84;1882;5,23;5,9;4,2;50;;;;EURO 5;110
Peugeot 208 1.4 e-HDi 68 HP S&S ESP Auto5R Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;Otomatik;Auto5R (YO);5 ileri;42;68;160;165;16,2;Onden Cekisli;Yok;60;63;3962;1829;1460;1060;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;90;80;3661;3,51;3,6;3,2;50;;;;EURO 5;87
Peugeot 208 1.4 HDi 68 HP Access;Binek;Hatchback;B;Peugeot;208;208;Access;2015, 2016;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;44;68;160;163;13,5;Onden Cekisli;Yok;60;63;3962;1829;1460;1050;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;85;2;5;91;87;3661;4,03;4,4;3,4;50;;;;EURO 5;98
Peugeot 208 1.4 HDi 68 HP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015, 2016;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;44;68;160;163;13,5;Onden Cekisli;Yok;60;63;3962;1829;1460;1050;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;91;87;3661;4,03;4,4;3,4;50;;;;EURO 5;98
Peugeot 208 1.4 HDi 68 HP ESP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;44;68;160;163;13,5;Onden Cekisli;Yok;60;63;3962;1829;1460;1050;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;91;87;3661;4,03;4,4;3,4;50;;;;EURO 5;98
Peugeot 208 1.6 HDi 92 HP ETG6 Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Otomatik;ETG6 (YO);6 ileri;52;92;230;183;11,8;Onden Cekisli;Yok;64;63;3962;1829;1460;1090;286;1076;195/55 R16;16;55%;195;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;86;77;3661;4,03;4,3;3,5;50;;;;EURO 5;98
Peugeot 208 1.2 PureTech 110 HP S&S EAT6 Active;Binek;Hatchback;B;Peugeot;208;208;Active;2016, 2017, 2018;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Endirekt Puskurtme;;;;Otomatik;EAT6;6 ileri;55;110;205;190;9,8;Onden Cekisli;Var;61;64;3973;1829;1460;1090;286;1076;185/65 R15;15;65%;185;5;Halojen;Var;5;Kumas;Manuel;Manuel;Manuel Klima;Var;Yok;Var;Var;95;4;5;91;83;1882;4,92;5,7;3,8;50;;;;EURO 6;104
Peugeot 208 1.2 PureTech 82 HP S&S ETG5 Access;Binek;Hatchback;B;Peugeot;208;208;Access;2016, 2017, 2018;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Endirekt Puskurtme;;;;Otomatik;ETG5 (YO);5 ileri;44;82;118;178;14,5;Onden Cekisli;Var;59;64;3973;1829;1460;980;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;85;2;5;94;84;1882;4,39;4,6;3,9;50;;;;EURO 6;97
Peugeot 208 1.2 PureTech 82 HP S&S ETG5 Active;Binek;Hatchback;B;Peugeot;208;208;Active;2016, 2017, 2018;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Endirekt Puskurtme;;;;Otomatik;ETG5 (YO);5 ileri;44;82;118;178;14,5;Onden Cekisli;Var;59;64;3973;1829;1460;980;286;1076;185/65 R15;15;65%;185;5;Halojen;Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Var;95;4;5;94;84;1882;4,39;4,6;3,9;50;;;;EURO 6;97
Peugeot 208 1.6 e-HDi 92 HP S&S ETG6 Active;Binek;Hatchback;B;Peugeot;208;208;Active;2016;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Otomatik;ETG6 (YO);6 ileri;52;92;230;183;11,8;Onden Cekisli;Var;61;64;3973;1829;1460;1090;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;87;77;3661;4,03;4,3;3,5;50;;;;EURO 6;98
Peugeot 208 1.6 HDi 92 HP Access;Binek;Hatchback;B;Peugeot;208;208;Access;2016, 2017, 2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;53;92;230;185;10,9;Onden Cekisli;Var;61;64;3973;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;85;2;5;89;84;3661;4,19;4,6;3,5;50;;;;EURO 6;101
Peugeot 208 1.6 HDi 92 HP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2016, 2017, 2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;53;92;230;185;10,9;Onden Cekisli;Var;61;64;3973;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5;Halojen;Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Var;95;4;5;89;84;3661;4,19;4,6;3,5;50;;;;EURO 6;101
Peugeot 208 1.2 PureTech 82 HP S&S Active;Binek;Hatchback;B;Peugeot;208;208;Active;2017, 2018;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Endirekt Puskurtme;;;;Manuel;Manuel;5 ileri;46;82;118;175;12,2;Onden Cekisli;Var;59;64;3973;1829;1460;975;286;1076;185/65 R15;15;65%;185;5;Halojen;Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Var;95;4;5;95;91;1882;4,87;5,5;3,9;50;;;;EURO 6;104
Peugeot 208 1.6 BlueHdi 100 HP S&S ETG6 Active;Binek;Hatchback;B;Peugeot;208;208;Active;2017, 2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Otomatik;ETG6 (YO);6 ileri;53;100;254;187;12,4;Onden Cekisli;Var;61;64;3973;1829;1460;1110;286;1076;185/65 R15;15;65%;185;5;Halojen;Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Var;96;4;5;88;77;3661;3,77;4,1;3,2;50;;;;EURO 6;91
Peugeot 208 1.6 BlueHDi 100 HP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;55;100;254;187;10,7;Onden Cekisli;Var;61;64;3973;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5;Halojen;Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Var;95;4;5;91;84;3661;3,73;4,2;3;50;;;;EURO 6.2;90
Peugeot 301 1.2 PureTech 72 HP Access;Binek;Sedan;B;Peugeot;301;301;Access;2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;42;72;110;160;14,2;Onden Cekisli;Var;61;70;4442;1785;1466;980;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;35;2;3;90;91;1882;5,86;7;4,3;50;;;;EURO 5;124
Peugeot 301 1.2 PureTech 72 HP Active;Binek;Sedan;B;Peugeot;301;301;Active;2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;42;72;110;160;14,2;Onden Cekisli;Var;61;70;4442;1785;1466;980;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;35;2;3;90;91;1882;5,86;7;4,3;50;;;;EURO 5;124
Peugeot 301 1.2 PureTech 82 HP Access;Binek;Sedan;B;Peugeot;301;301;Access;2015, 2016, 2017, 2018;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;44;82;117;169;12,9;Onden Cekisli;Var;61;70;4442;1785;1466;980;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;35;2;3;92;91;1882;5,33;6;4,3;50;;;;EURO 5;114
Peugeot 301 1.2 PureTech 82 HP Active;Binek;Sedan;B;Peugeot;301;301;Active;2015, 2016, 2017, 2018, 2019;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;44;82;117;169;12,9;Onden Cekisli;Var;61;70;4442;1785;1466;980;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;35;2;3;92;91;1882;5,33;6;4,3;50;;;;EURO 5;114
Peugeot 301 1.6 HDi 92 HP Active;Binek;Sedan;B;Peugeot;301;301;Active;2015, 2016, 2017, 2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;92;230;180;11,2;Onden Cekisli;Var;63;76;4442;1953;1466;1090;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;37;2;3;87;84;3661;4,55;4,9;3,9;50;;;;EURO 5;112
Peugeot 301 1.6 HDi 92HP Access;Binek;Sedan;B;Peugeot;301;301;Access;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;92;230;180;11,2;Onden Cekisli;Var;62;70;4442;1785;1466;1090;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;36;2;3;87;84;3661;4,55;4,9;3,9;50;;;;EURO 5;112
Peugeot 301 1.6 VTi 115 HP Active;Binek;Sedan;B;Peugeot;301;301;Active;2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1587;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;54;115;150;188;9,4;Onden Cekisli;Var;62;76;4442;1953;1466;980;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;36;2;3;81;83;3661;5,86;7;4,3;50;;;;EURO 5;124
Peugeot 301 1.6 HDi 92 HP Access;Binek;Sedan;B;Peugeot;301;301;Access;2016, 2017, 2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;92;230;180;11,2;Onden Cekisli;Var;62;70;4442;1785;1466;1090;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;36;2;3;87;84;3661;4,55;4,9;3,9;50;;;;EURO 6;112
Peugeot 301 1.6 BlueHDi 100 HP Access;Binek;Sedan;B;Peugeot;301;301;Access;2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;55;100;254;183;10,8;Onden Cekisli;Var;62;68;4445;1748;1466;1090;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;36;2;3;89;84;3661;4,14;4,6;3,4;50;;;;EURO 6;101
Peugeot 301 1.6 BlueHDi 100 HP Active;Binek;Sedan;B;Peugeot;301;301;Active;2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;55;100;254;183;10,8;Onden Cekisli;Var;62;68;4445;1748;1466;1090;506;640;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;36;2;3;89;84;3661;4,14;4,6;3,4;50;;;;EURO 6;101
Peugeot 301 1.5 BlueHDi 100 HP Active;Binek;Sedan;B;Peugeot;301;301;Active;2019, 2020, 2021;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1499;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;56;100;250;190;10,1;Onden Cekisli;Var;65;68;4445;1748;1466;1090;506;640;195/55 R16;16;55%;195;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Var;46;4;3;79;85;6314;4,24;4,8;3,4;50;;;;EURO 6;104
Peugeot 308 1.2 PureTech 82 HP Access;Binek;Hatchback;C;Peugeot;308;308;Access;2014, 2015, 2016, 2017;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;43;82;118;172;13,3;Onden Cekisli;Var;62;67;4253;1804;1457;1075;428;1228;195/65 R15;15;65%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;106;6;5;92;91;1882;5,44;6,3;4,2;53;;;;EURO 5;114
Peugeot 308 1.6 HDi 92 HP Access;Binek;Hatchback;C;Peugeot;308;308;Access;2014, 2015, 2016, 2017;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;92;230;183;11,3;Onden Cekisli;Yok;62;67;4253;1804;1457;1090;428;1228;195/65 R15;15;65%;195;5; Halojen; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;106;6;5;89;84;3661;4,03;4,4;3,4;53;;;;EURO 5;95
Peugeot 308 1.2 PureTech 130 HP Active;Binek;Hatchback;C;Peugeot;308;308;Active;2015, 2016, 2017;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;6 ileri;59;130;230;207;9,6;Onden Cekisli;Var;65;67;4253;1804;1457;1090;428;1228;205/55 R16;16;55%;205;5; LED; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;106;6;5;92;89;1882;5,02;5,8;3,9;53;;;;EURO 5;107
Peugeot 308 1.2 PureTech 130 HP EAT6 Active;Binek;Hatchback;C;Peugeot;308;308;Active;2015, 2016, 2017;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;3;1199;Cok Noktadan Enjeksiyon;;;;Otomatik;EAT6;6 ileri;59;130;230;206;9,1;Onden Cekisli;Var;66;67;4253;1804;1457;1150;428;1228;205/55 R16;16;55%;205;5; LED; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;106;6;5;88;82;1882;5,39;6,3;4,1;53;;;;EURO 5;114
Peugeot 308 1.2 PureTech 82 HP Active;Binek;Hatchback;C;Peugeot;308;308;Active;2015, 2016, 2017;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;43;82;118;172;13,3;Onden Cekisli;Var;65;67;4253;1804;1457;1075;428;1228;205/55 R16;16;55%;205;5; Halojen; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;106;6;5;90;91;1882;5,49;6,4;4,2;53;;;;EURO 5;115
Peugeot 308 1.6 BlueHDi 120 HP EAT6 Active;Binek;Hatchback;C;Peugeot;308;308;Active;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Otomatik;EAT6;6 ileri;60;120;300;196;9,5;Onden Cekisli;Var;67;67;4253;1804;1457;1200;428;1228;205/55 R16;16;55%;205;5; LED; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;107;6;5;86;76;3661;3,77;4;3,3;53;;;;EURO 5;92
Peugeot 308 1.6 e-HDi 115 HP S&S Active;Binek;Hatchback;C;Peugeot;308;308;Active;2015, 2016, 2017;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Degisken Geometrili Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;6 ileri;58;115;270;194;10,2;Onden Cekisli;Var;65;67;4253;1804;1457;1090;428;1228;205/55 R16;16;55%;205;5; LED; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;106;6;5;88;83;3661;4,03;4,3;3,5;53;;;;EURO 5;98
Peugeot 308 1.6 HDi 92 HP Active;Binek;Hatchback;C;Peugeot;308;308;Active;2014, 2015, 2016, 2017;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;92;230;183;11,3;Onden Cekisli;Var;65;67;4253;1804;1457;1090;428;1228;205/55 R16;16;55%;205;5; Halojen; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;106;6;5;88;84;3661;4,03;4,4;3,4;53;;;;EURO 5;95
Peugeot 308 1.6 BlueHDi 100 HP S&S Access;Binek;Hatchback;C;Peugeot;308;308;Access;2017, 2018;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;Manuel;Manuel;5 ileri;52;100;254;186;12,8;Onden Cekisli;Var;63;68;4253;1804;1472;1160;420;1228;195/65 R15;15;65%;195;5; LED; Var;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;106;6;5;91;84;3661;3,51;3,6;3,2;53;;;;EURO 6;95
Fiat 500 0.9 Twinair 105 HP Sport;Binek;Coupe;A;Fiat;500;500;Sport;2015;Italya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Turbo;2;875;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;6 ileri;52;105;145;188;10;Onden Cekisli;Var;54;52;3546;1627;1488;940;185;550;185/55 R15;15;55%;185;3;Halojen;Var;4;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Var;58;7;3;96;96;1882;5,44;6,2;4,3;35;;;;EURO 5;118
